1,我瞥见了坐在方向盘后面的幽灵。,幻影慢慢地、严肃地、无声地走近。,幽灵消失了。
2,这是一部五幕歌剧。,这部歌剧有三幕。,这位歌剧歌手主动举办了一场慈善音乐会。
3,钱藏在地板下面。,冰会在我们的重量下破裂。,请求帮助是有损我的尊严的。
4,这个人戴着老虎面具。,该男子开始摘下帽子、眼镜和口罩。,他戴着面具，这样就没有人能认出他了。
5,桥梁无法承受强风的力量，倒塌了。,没有什么可以迫使我放弃它。,重力是物体相互吸引的自然力。
6,也许我会自己闲逛。,我们就四处走走看看能走到哪里。,你最好不要一个人在这里闲逛。
7,那里曾经住着一个可怕的怪物。,雷克斯是一只怪物。,据信洞穴里住着一只怪物。
8,角色扮演视频游戏很耗时。,玛丽在剧中扮演一位老妇人。,兼职工人在经济发展中发挥着重要作用。
9,胖子很难绑架。,为什么有人会绑架汤姆？,你在哪里绑架了他们？
10,观众对演员的表演赞不绝口。,兴奋的观众跑进音乐厅。,观众们对比赛感到兴奋。
11,尽量坚持下去，直到救援队到达。,救援人员搜查了该地区，寻找孩子。,当救援队到达时，他还活着。
12,王子被国王俘虏，引发了另一场战争。,我睡得很早，这样我就可以起床去捕捉日出。,说实话，我们是来抓你的。
13,为什么生活如此充满苦难？,激情制造痛苦。,今年夏天我们严重缺水。
14,净化我！放开我！放我自由！,预计John Tel将将其芯片组的发布推迟到八月。,死亡是唯一的解脱吗？
15,用你的车送我一程。,一旦签署联合协议，我们就可以取消进口限制。,义雄帮我举起盒子。
16,,,
17,会议原定于下周六举行。,这首诗最初是用法语写的。,他们最初是农民。
18,如果我重生，我就会成为一名音乐家。,音乐家摇摇头，推开了他的小钢琴。,音乐家可以欣赏声音中的微小差异。
19,,,
20,玛丽亚已故的丈夫是一名小提琴家。,小提琴手等待演奏的信号。,这位小提琴家技术精湛。
21,里约一条海滨高架自行车道倒塌。,里约一条高架自行车道倒塌，造成两人死亡。,该患者的N-乙基-对醌胺水平升高。
22,机械消耗大量电力。,机械可以节省大量劳动力。,机器剥夺了工作的创造性兴趣。
23,我们碰巧看见一辆卡车撞上了护栏。,该镇可乘坐铁路前往。,机票的成本高于铁路票价。
24,我们究竟怎样才能恢复青春？,战斗结束后，维和部队介入以恢复平静。,目前我们正在努力尽快恢复正常服务。
25,回到你的座位上。,你所坐的座位上的油漆仍然是湿的。,有空座位吗？
26,管弦乐队在调音时发出不和谐的声音。,管弦乐队奏起怀旧音乐。,我要加入学校管弦乐队。
27,京都的魅力在于其古老寺庙的美丽。,这位艺术家捕捉到了这位女士的魅力。,音乐具有一种魅力，甚至可以安抚野蛮人的胸部。
28,总的来说，可以说他是音乐天才。,总而言之，他是一个天才。,听起来天才似乎弥补了经验的缺乏。
29,事实证明，我们的尝试失败了。,不要同时尝试两件事。,不要同时尝试两个项目。
30,这是一部你可以欣赏女人心灵微妙运作的戏剧。,萨米了解这个组织内部运作的一切。,您了解汽车的内部运作方式吗？
31,但宇宙是无限的。,我们的世界只是宇宙的一小部分。,宇宙的起源是什么？
32,只有彻底禁止核武器，才能停止军备竞赛。,核武器是对全人类的威胁。,核武器只会给人类带来毁灭。
33,我不能接受你的礼物。,你有音乐天赋。,请你把这个包装成礼品包好吗？
34,你真的很好奇，不是吗？,孩子充满了好奇。,出于好奇，我打开了盒子。
35,艾希勒女士因对学生严厉而臭名昭著。,弗兰克有坏孩子的名声，但他长大后就不那么坏了。,在任何行业，声誉都可以成就人，也可以毁掉人。
36,我想我对此有一个理论。,你的理论基于什么？,我无意挑战你的理论。
37,我们可以用望远镜看到遥远的物体。,远处的东西看起来模糊不清。,我们看到远处灯塔的微光。
38,我在京都期间，他担任导游。,有导游吗？,我们的导游错误地告诉了我们酒店的位置。
39,伦敦火车的站台是哪个？,站台上只有一个人。,站台上有很多人。
40,我完全理解你的处境。,你的行为完全合法。,你说的一切都完全正确。
41,这只是礼貌的掌声。,我们向表演者鼓掌。,宇航员们受到了自发的掌声。
42,他们的沟通可能比我们想象的要复杂得多。,对你来说简单的事情对我来说却很复杂。,有多复杂？
43,你应该执行他的提议。,你应该拒绝他的提议。,虽然我看到了你所说的，但我不能接受你的提议。
44,很少有富人拥有自己的财产。,火灾剥夺了我们的财产。,你通过付费来建立产权。
45,忘了它。这不值得。,你的想法绝对值得思考。,这是值得的。
46,我不喜欢英语课的新教科书;我更喜欢原版的。,再次将您的翻译与原文对照。,比尔有很多原创想法。
47,在强风的推动下，火势瞬间蔓延开来。,癌细胞已经扩散到她的胃了。,我们可以检查流感的快速传播吗？
48,比尔被选为特别奖。,这位建筑师吹嘘他获得了一项著名的奖项。,1995年，Andou获得了建筑界最负盛名的奖项。
49,这种行为会影响你的荣誉。,嫉妒是荣誉的伴侣。,他是我们所说的优等生。
50,科学家认为这一发现很重要。,青霉素的发现归功于谁？,偶然的机会使我们发现了这个新岛屿.
51,,,
52,一郎是一位杰出的棒球运动员。,我还有10美元的未偿债务。,我还有很多工作尚未完成。
53,我们需要一些正式的文学指导。,这位教授熟悉当代文学.,史密斯先生发表了一次关于文学的演讲。
54,我想给他一份生日礼物。,你会得到一份漂亮的礼物。,我有一份很好的礼物要送给你。
55,我们庆祝了一百周年纪念日。,我们举办了一场聚会，庆祝公司成立20周年。,我们公司成立四十周年。
56,仪式以他的演讲开始。,纪念仪式以闭幕词结束。,开幕式如期举行。
57,明天我们出发去斯德哥尔摩！,斯德哥尔摩是瑞典的首都。,昨天我去了斯德哥尔摩。
58,每个学生依次获得了文凭。,校长向每位毕业生颁发了文凭。,每个男孩都拿到了毕业证书。
59,委员会向他颁发了一枚奖章。,罗伊用别针别好奖章。,这是她赢得的第一枚金牌。
60,我看到一些客人离开了宴会厅。,宴会如火如荼地进行着。,宴会主办方品尝了一下水，水变成了酒。
